globalref,en,fr
understand,Understand,Comprendre
getin,Get in,Aller
getaround,Get Around,Circuler
see,See,Voir
do,Do,Faire
buy,Buy,Acheter
eat,Eat,Manger
drink,Drink,Boire un verre / Sortir
sleep,Sleep,Se loger
gonext,Go next,Aux environs
work,Work,Travailler
learn,Learn,Apprendre
cope,Cope,Gérer le quotidien
staysafe,Stay safe,Sécurité
connect,Connect,Communiquer
respect,Respect,Respecter
talk,Talk,Parler
electricity,Electricity,Éléctricité
prepare,Prepare,Se préparer
route,Route,Étapes
otherdest,Other destinations,Autres destinations
read,Read,Lire
customs,Customs,Douanes
bytaxi,By taxi,En taxi
stayhealthy,Stay healthy,Santé
currency,Currency,Monnaie
cities,Cities,Villes
regions,Regions,Régions
districts,Districts,Quartiers
touristoffice,Tourist office,Bureaux d'informations touristiques
history,History,Histoire
landscape,Landscape,Paysage
flora,Flora and fauna,Flore et faune
climate,Climate,Climat
hiking,Hiking,Randonnée
fees,Fees/permits,Droits d'accès
activities,Activities,Activités
weather,Weather,Météo
wildlife,Wildlife,Nature
byfoot,By foot,À pied
bytrain,By train,En train
bybus,By bus,En bus
byplane,By plane,En avion
byferry,By ferry,En ferry
byboat,By boat,En bateau
bycar,By car,En voiture
bybike,By bike,En vélo
bysnowmobile,By snowmobile,En motoneige
bythumb,By thumb,En stop
budget,Budget,Bon marché
midrange,Mid-range, Prix moyen
splurge,Splurge, Luxe
hotel,Hotel,Hôtel
lodging,Lodging,Logements
backcountry,Backcountry,Dans la nature
